id,name,description,price,category,test_min,test_max,text_for_embedding
134,Поролоновая рыбка Акелла 6см (5 шт),Судаковая поролонка с отличной плавучестью.,420,Приманки,,,Поролоновая рыбка Акелла 6см (5 шт). Приманки. Судаковая поролонка с отличной плавучестью. test_min_nan test_max_nan
135,"Силикон Kosadaka Revolt 3.5"" (10 шт)",Съедобный силикон с запахом чеснока.,550,Приманки,,,"Силикон Kosadaka Revolt 3.5"" (10 шт). Приманки. Съедобный силикон с запахом чеснока. test_min_nan test_max_nan"
136,Колебалка Kuusamo Professor 3 18г,Финская колебалка с уникальной игрой для щуки.,950,Блесны,,,Колебалка Kuusamo Professor 3 18г. Блесны. Финская колебалка с уникальной игрой для щуки. test_min_nan test_max_nan
137,Вертушка Myran Tinsel 12г,Шведская вращалка с красной шерстинкой.,520,Блесны,,,Вертушка Myran Tinsel 12г. Блесны. Шведская вращалка с красной шерстинкой. test_min_nan test_max_nan
138,Блесна Acme Kastmaster 7г,Универсальная блесна для дальнего заброса.,380,Блесны,,,Блесна Acme Kastmaster 7г. Блесны. Универсальная блесна для дальнего заброса. test_min_nan test_max_nan
139,Балансир Rapala Jigging Rap 5см 9г,Уловистый балансир для зимней ловли окуня и судака.,780,Балансиры,,,Балансир Rapala Jigging Rap 5см 9г. Балансиры. Уловистый балансир для зимней ловли окуня и судака. test_min_nan test_max_nan
140,Балансир Lucky John Classic 4см 10г,Балансир с широкой амплитудой игры.,490,Балансиры,,,Балансир Lucky John Classic 4см 10г. Балансиры. Балансир с широкой амплитудой игры. test_min_nan test_max_nan
141,Балансир Scorana Ice Crystal 5см 12г,Балансир с яркой голограммой для привлечения хищника.,650,Балансиры,,,Балансир Scorana Ice Crystal 5см 12г. Балансиры. Балансир с яркой голограммой для привлечения хищника. test_min_nan test_max_nan
142,Мормышка капля 0.5г вольфрам,Тяжелая мормышка для ловли на глубине.,95,Мормышки,,,Мормышка капля 0.5г вольфрам. Мормышки. Тяжелая мормышка для ловли на глубине. test_min_nan test_max_nan
143,Мормышка Salmo Diamond Moth 0.3г,Безмотыльная мормышка с бриллиантовой огранкой.,120,Мормышки,,,Мормышка Salmo Diamond Moth 0.3г. Мормышки. Безмотыльная мормышка с бриллиантовой огранкой. test_min_nan test_max_nan
144,Мормышка Lucky John GLK 0.6г,Крупная мормышка с крючком Owner.,110,Мормышки,,,Мормышка Lucky John GLK 0.6г. Мормышки. Крупная мормышка с крючком Owner. test_min_nan test_max_nan
145,Плетеный шнур Daiwa J-Braid 8x 0.13мм 150м,Восьмижильная плетенка с круглым сечением.,1490,Лески и шнуры,,,Плетеный шнур Daiwa J-Braid 8x 0.13мм 150м. Лески и шнуры. Восьмижильная плетенка с круглым сечением. test_min_nan test_max_nan
146,Флюорокарбон Owner Fluoro 0.235мм 50м,Жесткий флюорокарбон для поводков.,620,Лески и шнуры,,,Флюорокарбон Owner Fluoro 0.235мм 50м. Лески и шнуры. Жесткий флюорокарбон для поводков. test_min_nan test_max_nan
147,Крючки Kamasan B560 №6 (10 шт),Прочные крючки для фидера и поплавка.,290,Крючки,,,Крючки Kamasan B560 №6 (10 шт). Крючки. Прочные крючки для фидера и поплавка. test_min_nan test_max_nan
148,Крючки карповые Gardner Mugga 2 (10 шт),Усиленные крючки с тефлоновым покрытием.,420,Крючки,,,Крючки карповые Gardner Mugga 2 (10 шт). Крючки. Усиленные крючки с тефлоновым покрытием. test_min_nan test_max_nan
149,Крючки Owner 53144 №12 (15 шт),Тонкие крючки для мотыля.,250,Крючки,,,Крючки Owner 53144 №12 (15 шт). Крючки. Тонкие крючки для мотыля. test_min_nan test_max_nan
150,Поплавок Drennan Crystal 2г,Прозрачный поплавок с хорошей остойчивостью.,210,Поплавки,,,Поплавок Drennan Crystal 2г. Поплавки. Прозрачный поплавок с хорошей остойчивостью. test_min_nan test_max_nan
151,Поплавок Tubertini Minifloat 1г,Миниатюрный поплавок для штекерной ловли.,190,Поплавки,,,Поплавок Tubertini Minifloat 1г. Поплавки. Миниатюрный поплавок для штекерной ловли. test_min_nan test_max_nan
152,Кормушка-пуля Preston 20г,Обтекаемая кормушка для дальнего заброса.,175,Кормушки,,,Кормушка-пуля Preston 20г. Кормушки. Обтекаемая кормушка для дальнего заброса. test_min_nan test_max_nan
153,Кормушка флэт методная 45г средняя,Методная кормушка с огрузкой.,240,Кормушки,,,Кормушка флэт методная 45г средняя. Кормушки. Методная кормушка с огрузкой. test_min_nan test_max_nan
154,Прикормка Dynamite Baits Swim Stim Betaine Green 1кг,Английская прикормка с бетаином для карпа.,590,Прикормка,,,Прикормка Dynamite Baits Swim Stim Betaine Green 1кг. Прикормка. Английская прикормка с бетаином для карпа. test_min_nan test_max_nan
155,Прикормка Browning Black Viper 1кг,Универсальная прикормка темного цвета.,420,Прикормка,,,Прикормка Browning Black Viper 1кг. Прикормка. Универсальная прикормка темного цвета. test_min_nan test_max_nan
156,Зимний костюм Shimano Kairiki,Теплый костюм с мембраной для суровых условий.,22500,Одежда,,,Зимний костюм Shimano Kairiki. Одежда. Теплый костюм с мембраной для суровых условий. test_min_nan test_max_nan
157,Летние брюки Daiwa Airdrive,Легкие дышащие брюки с защитой от УФ.,4990,Одежда,,,Летние брюки Daiwa Airdrive. Одежда. Легкие дышащие брюки с защитой от УФ. test_min_nan test_max_nan
158,Куртка флисовая Norfin Wild,Утепляющий слой для межсезонья.,3890,Одежда,,,Куртка флисовая Norfin Wild. Одежда. Утепляющий слой для межсезонья. test_min_nan test_max_nan
159,Вейдерсы водостойкие Rapala Vario 2,Полукомбинезон из неопрена 3 мм.,8990,Одежда,,,Вейдерсы водостойкие Rapala Vario 2. Одежда. Полукомбинезон из неопрена 3 мм. test_min_nan test_max_nan
160,Садок пластиковый 2.5м,Плавающий садок с мелкой ячеей.,1450,Аксессуары,,,Садок пластиковый 2.5м. Аксессуары. Плавающий садок с мелкой ячеей. test_min_nan test_max_nan
161,Подсак Fox Rage Predator 90см,Подсак с прорезиненной сеткой для хищника.,3890,Аксессуары,,,Подсак Fox Rage Predator 90см. Аксессуары. Подсак с прорезиненной сеткой для хищника. test_min_nan test_max_nan
162,Стойка под удилище Carp Zoom 2 шт.,Регулируемые стойки с сигнализатором.,1790,Аксессуары,,,Стойка под удилище Carp Zoom 2 шт.. Аксессуары. Регулируемые стойки с сигнализатором. test_min_nan test_max_nan
163,Сигнализатор поклевки Fox Mini Micron,Электронный сигнализатор с регулировкой громкости.,2690,Аксессуары,,,Сигнализатор поклевки Fox Mini Micron. Аксессуары. Электронный сигнализатор с регулировкой громкости. test_min_nan test_max_nan
164,Эхолот Lowrance Hook Reveal 5,Эхолот с GPS и картплоттером.,34900,Аксессуары,,,Эхолот Lowrance Hook Reveal 5. Аксессуары. Эхолот с GPS и картплоттером. test_min_nan test_max_nan
165,Зарядное устройство для аккумуляторов Norfin 12V,Интеллектуальное зарядное устройство.,2190,Аксессуары,,,Зарядное устройство для аккумуляторов Norfin 12V. Аксессуары. Интеллектуальное зарядное устройство. test_min_nan test_max_nan
166,Ящик для снастей Meiho VS-708,Компактный ящик с перегородками.,890,Аксессуары,,,Ящик для снастей Meiho VS-708. Аксессуары. Компактный ящик с перегородками. test_min_nan test_max_nan
167,Сумка поясная для приманок Flambeau,Удобная сумка с отделениями.,1550,Аксессуары,,,Сумка поясная для приманок Flambeau. Аксессуары. Удобная сумка с отделениями. test_min_nan test_max_nan
168,Чехол для катушек Daiwa,Защитный неопреновый чехол.,750,Аксессуары,,,Чехол для катушек Daiwa. Аксессуары. Защитный неопреновый чехол. test_min_nan test_max_nan
169,Экстрактор хирургический 25см,Инструмент для извлечения крючков.,380,Аксессуары,,,Экстрактор хирургический 25см. Аксессуары. Инструмент для извлечения крючков. test_min_nan test_max_nan
170,Грузила каплевидные 10-30г набор,Набор грузил для джига.,490,Аксессуары,,,Грузила каплевидные 10-30г набор. Аксессуары. Набор грузил для джига. test_min_nan test_max_nan
171,Поводки стальные 15см (10 шт),Надежные поводки для щуки.,320,Аксессуары,,,Поводки стальные 15см (10 шт). Аксессуары. Надежные поводки для щуки. test_min_nan test_max_nan
172,Ножницы для плетенки Cuda,Титановые ножницы с чехлом.,1290,Инструменты,,,Ножницы для плетенки Cuda. Инструменты. Титановые ножницы с чехлом. test_min_nan test_max_nan
173,Щипцы для снятия крючков Fox Rage,Длинные щипцы с фиксатором.,790,Инструменты,,,Щипцы для снятия крючков Fox Rage. Инструменты. Длинные щипцы с фиксатором. test_min_nan test_max_nan
174,Палатка зимняя Norfin Winter 2-мест.,Быстросборная палатка с утепленным дном.,11500,Палатки,,,Палатка зимняя Norfin Winter 2-мест.. Палатки. Быстросборная палатка с утепленным дном. test_min_nan test_max_nan
175,Палатка летняя Carp Zoom Easy Shelter,Легкая палатка для карпфишинга.,6990,Палатки,,,Палатка летняя Carp Zoom Easy Shelter. Палатки. Легкая палатка для карпфишинга. test_min_nan test_max_nan
176,Видеокамера для рыбалки GoFish Cam,Подводная камера для съемки поклевок.,8900,Электроника,,,Видеокамера для рыбалки GoFish Cam. Электроника. Подводная камера для съемки поклевок. test_min_nan test_max_nan
177,Спиннинг G.Loomis E6X 240 5-15г,Премиальный американский спиннинг с высокой чувствительностью.,27900,Спиннинги,5.0,15.0,Спиннинг G.Loomis E6X 240 5-15г. Спиннинги. Премиальный американский спиннинг с высокой чувствительностью. test_min_5.0 test_max_15.0
178,Катушка Penn Battle III 2500,Мощная катушка для морской и пресноводной ловли.,7990,Катушки,,,Катушка Penn Battle III 2500. Катушки. Мощная катушка для морской и пресноводной ловли. test_min_nan test_max_nan
179,Воблер Duo Realis Jerkbait 120SP,Составной воблер с размашистой игрой.,1450,Воблеры,,,Воблер Duo Realis Jerkbait 120SP. Воблеры. Составной воблер с размашистой игрой. test_min_nan test_max_nan
180,"Силикон Gary Yamamoto Senko 5"" (7 шт)",Знаменитый червь для техасской оснастки.,650,Приманки,,,"Силикон Gary Yamamoto Senko 5"" (7 шт). Приманки. Знаменитый червь для техасской оснастки. test_min_nan test_max_nan"
181,Сумка для удилищ Lucky John 1.5м,Мягкая сумка на два отделения.,1390,Аксессуары,,,Сумка для удилищ Lucky John 1.5м. Аксессуары. Мягкая сумка на два отделения. test_min_nan test_max_nan
182,Застёжка-карабин Owner №1 (10 шт),Надёжные застёжки для быстрой смены приманок.,290,Аксессуары,,,Застёжка-карабин Owner №1 (10 шт). Аксессуары. Надёжные застёжки для быстрой смены приманок. test_min_nan test_max_nan
183,Спиннинг Norstream Areal New 270 3-18г,Обновлённая версия популярного спиннинга с быстрым строем.,8990,Спиннинги,3.0,18.0,Спиннинг Norstream Areal New 270 3-18г. Спиннинги. Обновлённая версия популярного спиннинга с быстрым строем. test_min_3.0 test_max_18.0
184,Спиннинг Favorite X1 Ultra 210 1-7г,Ультралайтовый спиннинг для деликатных приманок.,3490,Спиннинги,1.0,7.0,Спиннинг Favorite X1 Ultra 210 1-7г. Спиннинги. Ультралайтовый спиннинг для деликатных приманок. test_min_1.0 test_max_7.0
185,Спиннинг Zemex Spider Pro 270 10-32г,Универсальный спиннинг с большим тестом для трофейной рыбы.,5090,Спиннинги,10.0,32.0,Спиннинг Zemex Spider Pro 270 10-32г. Спиннинги. Универсальный спиннинг с большим тестом для трофейной рыбы. test_min_10.0 test_max_32.0
186,Спиннинг Black Hole NS Matrix II 240 5-21г,Второе поколение лёгкого и сбалансированного спиннинга.,5890,Спиннинги,5.0,21.0,Спиннинг Black Hole NS Matrix II 240 5-21г. Спиннинги. Второе поколение лёгкого и сбалансированного спиннинга. test_min_5.0 test_max_21.0
187,Спиннинг Major Craft Solpara SPS-S240ML 5-20г,Надёжный спиннинг с чувствительным бланком для джига.,7690,Спиннинги,5.0,20.0,Спиннинг Major Craft Solpara SPS-S240ML 5-20г. Спиннинги. Надёжный спиннинг с чувствительным бланком для джига. test_min_5.0 test_max_20.0
188,Спиннинг Stinger Manic 27 10-30г,Бюджетный спиннинг быстрого строя для береговой ловли.,2790,Спиннинги,10.0,30.0,Спиннинг Stinger Manic 27 10-30г. Спиннинги. Бюджетный спиннинг быстрого строя для береговой ловли. test_min_10.0 test_max_30.0
189,Спиннинг Maximus Black Widow 24L 5-18г,Лёгкий и звонкий спиннинг для твичинга и лёгкого джига.,4490,Спиннинги,5.0,18.0,Спиннинг Maximus Black Widow 24L 5-18г. Спиннинги. Лёгкий и звонкий спиннинг для твичинга и лёгкого джига. test_min_5.0 test_max_18.0
190,Спиннинг Kosadaka Menace 270 15-45г,Мощный спиннинг для крупных приманок и трофейной щуки.,3690,Спиннинги,15.0,45.0,Спиннинг Kosadaka Menace 270 15-45г. Спиннинги. Мощный спиннинг для крупных приманок и трофейной щуки. test_min_15.0 test_max_45.0
191,Спиннинг Lucky John Progress Jig 27 10-30г,Универсальный спиннинг средне-быстрого строя.,4590,Спиннинги,10.0,30.0,Спиннинг Lucky John Progress Jig 27 10-30г. Спиннинги. Универсальный спиннинг средне-быстрого строя. test_min_10.0 test_max_30.0
192,Спиннинг Graphiteleader Aspro 210 2-12г,Премиальный лёгкий спиннинг для микроджига и воблеров.,21500,Спиннинги,2.0,12.0,Спиннинг Graphiteleader Aspro 210 2-12г. Спиннинги. Премиальный лёгкий спиннинг для микроджига и воблеров. test_min_2.0 test_max_12.0
193,Спиннинг Abu Garcia Veritas 240 7-28г,Прочный и лёгкий спиннинг с технологией Powerlux.,8990,Спиннинги,7.0,28.0,Спиннинг Abu Garcia Veritas 240 7-28г. Спиннинги. Прочный и лёгкий спиннинг с технологией Powerlux. test_min_7.0 test_max_28.0
194,Катушка Shimano Vanford 2500,Лёгкая и мощная катушка с фрикционом MGL.,15490,Катушки,,,Катушка Shimano Vanford 2500. Катушки. Лёгкая и мощная катушка с фрикционом MGL. test_min_nan test_max_nan
195,Катушка Daiwa Ballistic LT 2500D,Профессиональная катушка с технологией Zaion.,14990,Катушки,,,Катушка Daiwa Ballistic LT 2500D. Катушки. Профессиональная катушка с технологией Zaion. test_min_nan test_max_nan
196,Катушка Abu Garcia Revo Rocket 30,Скоростная катушка (7.6:1) для активной ловли.,10990,Катушки,,,Катушка Abu Garcia Revo Rocket 30. Катушки. Скоростная катушка (7.6:1) для активной ловли. test_min_nan test_max_nan
197,Катушка Ryobi Exia MX 3000,Обновлённая версия с улучшенной укладкой лески.,3990,Катушки,,,Катушка Ryobi Exia MX 3000. Катушки. Обновлённая версия с улучшенной укладкой лески. test_min_nan test_max_nan
198,Катушка Okuma Ceymar XT 30,Бюджетная катушка с дисковым тормозом.,4690,Катушки,,,Катушка Okuma Ceymar XT 30. Катушки. Бюджетная катушка с дисковым тормозом. test_min_nan test_max_nan
199,Катушка Favorite White Bird 3000,Надёжная бюджетная катушка для средних нагрузок.,2590,Катушки,,,Катушка Favorite White Bird 3000. Катушки. Надёжная бюджетная катушка для средних нагрузок. test_min_nan test_max_nan
200,Катушка Tsurinoya Spirit Fox 3000,Популярная катушка с отличной тягой для джига.,4890,Катушки,,,Катушка Tsurinoya Spirit Fox 3000. Катушки. Популярная катушка с отличной тягой для джига. test_min_nan test_max_nan
201,Катушка Spro Zalt X 2500,Усовершенствованная модель с усиленным механизмом.,7290,Катушки,,,Катушка Spro Zalt X 2500. Катушки. Усовершенствованная модель с усиленным механизмом. test_min_nan test_max_nan
202,Катушка Stinger Power 4000,Бюджетная катушка для тяжёлого джига.,2990,Катушки,,,Катушка Stinger Power 4000. Катушки. Бюджетная катушка для тяжёлого джига. test_min_nan test_max_nan
203,Катушка Mitchell 300 Pro,Современная классика с плавным ходом.,5590,Катушки,,,Катушка Mitchell 300 Pro. Катушки. Современная классика с плавным ходом. test_min_nan test_max_nan
204,Катушка Penn Battle III 3000,Мощная катушка для морской и пресноводной ловли.,8490,Катушки,,,Катушка Penn Battle III 3000. Катушки. Мощная катушка для морской и пресноводной ловли. test_min_nan test_max_nan
205,Катушка Shimano Sahara FJ 2500,Обновлённая бюджетная катушка с холоднокованым ротором.,7490,Катушки,,,Катушка Shimano Sahara FJ 2500. Катушки. Обновлённая бюджетная катушка с холоднокованым ротором. test_min_nan test_max_nan
206,Фидер Salmo Sniper Feeder 420 150г,Мощный фидер для дальнего заброса кормушек до 150г.,6490,Фидеры,0.0,150.0,Фидер Salmo Sniper Feeder 420 150г. Фидеры. Мощный фидер для дальнего заброса кормушек до 150г. test_min_0.0 test_max_150.0
207,Фидер Волжанка Оптима 420 180г,Удлинённый фидер для ловли на крупных водоёмах.,5690,Фидеры,0.0,180.0,Фидер Волжанка Оптима 420 180г. Фидеры. Удлинённый фидер для ловли на крупных водоёмах. test_min_0.0 test_max_180.0
208,Фидер Shimano Beastmaster Feeder 420 140г,Премиальный фидер с идеальной сенсорикой.,14490,Фидеры,0.0,140.0,Фидер Shimano Beastmaster Feeder 420 140г. Фидеры. Премиальный фидер с идеальной сенсорикой. test_min_0.0 test_max_140.0
209,Фидер Daiwa Whisker 390 120г,Лёгкий и точный фидер для стоячей воды.,8990,Фидеры,0.0,120.0,Фидер Daiwa Whisker 390 120г. Фидеры. Лёгкий и точный фидер для стоячей воды. test_min_0.0 test_max_120.0
210,Фидер Preston Monster Feeder 420 180г,Профессиональный фидер для трофейной рыбы.,13490,Фидеры,0.0,180.0,Фидер Preston Monster Feeder 420 180г. Фидеры. Профессиональный фидер для трофейной рыбы. test_min_0.0 test_max_180.0
211,Фидер Browning Black Viper 390 120г,Универсальный фидер с быстрым строем.,7990,Фидеры,0.0,120.0,Фидер Browning Black Viper 390 120г. Фидеры. Универсальный фидер с быстрым строем. test_min_0.0 test_max_120.0
212,Карповое удилище Fox Horizon XTC 150г,Премиальное удилище с высокой прочностью.,19900,Карповые удилища,0.0,150.0,Карповое удилище Fox Horizon XTC 150г. Карповые удилища. Премиальное удилище с высокой прочностью. test_min_0.0 test_max_150.0
213,Карповое удилище Shimano Tribal Velocity 160г,Универсальное удилище для карпятника.,12990,Карповые удилища,0.0,160.0,Карповое удилище Shimano Tribal Velocity 160г. Карповые удилища. Универсальное удилище для карпятника. test_min_0.0 test_max_160.0
214,Карповое удилище Mikado Carp Spirit 396 180г,Бюджетное удилище с параболическим строем.,5890,Карповые удилища,0.0,180.0,Карповое удилище Mikado Carp Spirit 396 180г. Карповые удилища. Бюджетное удилище с параболическим строем. test_min_0.0 test_max_180.0
215,Карповое удилище Daiwa Longbow 360 120г,Лёгкое удилище с отличной бросковостью.,10990,Карповые удилища,0.0,120.0,Карповое удилище Daiwa Longbow 360 120г. Карповые удилища. Лёгкое удилище с отличной бросковостью. test_min_0.0 test_max_120.0
216,Карповое удилище Sonik SKS 366 150г,Надёжное удилище с высококачественной фурнитурой.,8990,Карповые удилища,0.0,150.0,Карповое удилище Sonik SKS 366 150г. Карповые удилища. Надёжное удилище с высококачественной фурнитурой. test_min_0.0 test_max_150.0
217,Карповое удилище JRC Contact 360 130г,Проверенное временем карповое удилище.,7490,Карповые удилища,0.0,130.0,Карповое удилище JRC Contact 360 130г. Карповые удилища. Проверенное временем карповое удилище. test_min_0.0 test_max_130.0
218,Зимняя удочка Rapala Ice Pro 60см 2-6г,Лёгкая удочка для блеснения окуня с чувствительным кивком.,1490,Зимние удочки,2.0,6.0,Зимняя удочка Rapala Ice Pro 60см 2-6г. Зимние удочки. Лёгкая удочка для блеснения окуня с чувствительным кивком. test_min_2.0 test_max_6.0
219,Зимняя удочка Lucky John MGS Ice 60см 1-4г,Удочка с кивком для деликатной ловли на мормышку.,990,Зимние удочки,1.0,4.0,Зимняя удочка Lucky John MGS Ice 60см 1-4г. Зимние удочки. Удочка с кивком для деликатной ловли на мормышку. test_min_1.0 test_max_4.0
220,Зимняя удочка Stinger Power Ice Pro 70см 4-10г,Мощная удочка для балансира и крупной щуки.,1790,Зимние удочки,4.0,10.0,Зимняя удочка Stinger Power Ice Pro 70см 4-10г. Зимние удочки. Мощная удочка для балансира и крупной щуки. test_min_4.0 test_max_10.0
221,Зимняя удочка Salmo Ice Rod 50см 1-5г,Компактная удочка для ловли в палатке.,1190,Зимние удочки,1.0,5.0,Зимняя удочка Salmo Ice Rod 50см 1-5г. Зимние удочки. Компактная удочка для ловли в палатке. test_min_1.0 test_max_5.0
222,Зимняя удочка Favorite Frost 55см 2-8г,Универсальная зимняя удочка для блёсен и балансиров.,1390,Зимние удочки,2.0,8.0,Зимняя удочка Favorite Frost 55см 2-8г. Зимние удочки. Универсальная зимняя удочка для блёсен и балансиров. test_min_2.0 test_max_8.0
223,Воблер ZipBaits Rigge 70S,Тонущий воблер для скоростного твичинга.,1350,Воблеры,,,Воблер ZipBaits Rigge 70S. Воблеры. Тонущий воблер для скоростного твичинга. test_min_nan test_max_nan
224,Воблер OSP Varuna 110SP,Суспендер с размашистой игрой для щуки.,2100,Воблеры,,,Воблер OSP Varuna 110SP. Воблеры. Суспендер с размашистой игрой для щуки. test_min_nan test_max_nan
225,Воблер Ever Green Showerblows 105,Поверхностный воблер для ловли над травой.,1700,Воблеры,,,Воблер Ever Green Showerblows 105. Воблеры. Поверхностный воблер для ловли над травой. test_min_nan test_max_nan
226,Воблер Pontoon 21 Bet-A 70F,Плавающий воблер с активной игрой для окуня.,900,Воблеры,,,Воблер Pontoon 21 Bet-A 70F. Воблеры. Плавающий воблер с активной игрой для окуня. test_min_nan test_max_nan
227,Воблер Lucky Craft Flash Pointer 115MR,Дальнобойный суспендер для морских и речных хищников.,1550,Воблеры,,,Воблер Lucky Craft Flash Pointer 115MR. Воблеры. Дальнобойный суспендер для морских и речных хищников. test_min_nan test_max_nan
228,Воблер Rapala BX Minnow 10,Воблер из бальсы с живой игрой для трофейной щуки.,1450,Воблеры,,,Воблер Rapala BX Minnow 10. Воблеры. Воблер из бальсы с живой игрой для трофейной щуки. test_min_nan test_max_nan
229,Воблер Megabass Giant Dog-X,Крупный поппер для зрелищных поклёвок.,1950,Воблеры,,,Воблер Megabass Giant Dog-X. Воблеры. Крупный поппер для зрелищных поклёвок. test_min_nan test_max_nan
230,Воблер Jackall Rerange 110,Высокотехнологичный воблер с магнитной системой дальнего заброса.,1800,Воблеры,,,Воблер Jackall Rerange 110. Воблеры. Высокотехнологичный воблер с магнитной системой дальнего заброса. test_min_nan test_max_nan
231,Воблер Daiwa Lezard 85SP,Суспендер с реалистичной формой малька.,1350,Воблеры,,,Воблер Daiwa Lezard 85SP. Воблеры. Суспендер с реалистичной формой малька. test_min_nan test_max_nan
232,Воблер Googan Squad Scout 4.0,Плавающий воблер с шумовой камерой.,980,Воблеры,,,Воблер Googan Squad Scout 4.0. Воблеры. Плавающий воблер с шумовой камерой. test_min_nan test_max_nan
233,"Виброхвост Keitech Fat Swing Impact 4.8"" (10 шт)",Широкое тело и мощная игра для крупного хищника.,1150,Приманки,,,"Виброхвост Keitech Fat Swing Impact 4.8"" (10 шт). Приманки. Широкое тело и мощная игра для крупного хищника. test_min_nan test_max_nan"
234,"Твистер Relax Twister 3"" (10 шт)",Миниатюрный твистер для окуня и форели.,480,Приманки,,,"Твистер Relax Twister 3"" (10 шт). Приманки. Миниатюрный твистер для окуня и форели. test_min_nan test_max_nan"
235,"Слаг Kosadaka Diesel Slug 4"" (8 шт)",Пассивная приманка для ловли пассивного хищника.,510,Приманки,,,"Слаг Kosadaka Diesel Slug 4"" (8 шт). Приманки. Пассивная приманка для ловли пассивного хищника. test_min_nan test_max_nan"
236,"Силикон Berkley PowerBait MaxScent Flat Worm 4.25"" (6 шт)","Плоский червь с запахом, привлекающий рыбу.",920,Приманки,,,"Силикон Berkley PowerBait MaxScent Flat Worm 4.25"" (6 шт). Приманки. Плоский червь с запахом, привлекающий рыбу. test_min_nan test_max_nan"
237,"Виброхвост Bass Assassin Turbo Shad 5"" (8 шт)",Крупный виброхвост с интенсивной игрой.,790,Приманки,,,"Виброхвост Bass Assassin Turbo Shad 5"" (8 шт). Приманки. Крупный виброхвост с интенсивной игрой. test_min_nan test_max_nan"
238,"Силиконовый рак Keitech Sexy Impact 3"" (6 шт)",Реалистичная имитация рака для джига.,880,Приманки,,,"Силиконовый рак Keitech Sexy Impact 3"" (6 шт). Приманки. Реалистичная имитация рака для джига. test_min_nan test_max_nan"
239,Поролоновая рыбка Акелла 8см (5 шт),Крупная поролонка для трофейного судака.,460,Приманки,,,Поролоновая рыбка Акелла 8см (5 шт). Приманки. Крупная поролонка для трофейного судака. test_min_nan test_max_nan
240,"Силиконовая креатура Geecrack Bellows Gill 4.8"" (6 шт)",Увеличенная имитация лягушки для летней ловли.,1050,Приманки,,,"Силиконовая креатура Geecrack Bellows Gill 4.8"" (6 шт). Приманки. Увеличенная имитация лягушки для летней ловли. test_min_nan test_max_nan"
241,Колебалка Atom 15г,Легендарная советская колебалка с широкой игрой.,420,Блесны,,,Колебалка Atom 15г. Блесны. Легендарная советская колебалка с широкой игрой. test_min_nan test_max_nan
242,Вертушка Mepps Aglia Long №3 медь,Дальнобойная вращалка с медным лепестком.,470,Блесны,,,Вертушка Mepps Aglia Long №3 медь. Блесны. Дальнобойная вращалка с медным лепестком. test_min_nan test_max_nan
243,Колебалка Abu Garcia Pike 25г,Тяжёлая колебалка для глубинной ловли щуки.,820,Блесны,,,Колебалка Abu Garcia Pike 25г. Блесны. Тяжёлая колебалка для глубинной ловли щуки. test_min_nan test_max_nan
244,Блесна Acme Little Cleo 10г,Универсальная колебалка для форели и окуня.,410,Блесны,,,Блесна Acme Little Cleo 10г. Блесны. Универсальная колебалка для форели и окуня. test_min_nan test_max_nan
245,Балансир Nils Master Jigging Shad 5см 12г,Финский балансир с объёмной игрой.,850,Балансиры,,,Балансир Nils Master Jigging Shad 5см 12г. Балансиры. Финский балансир с объёмной игрой. test_min_nan test_max_nan
246,Балансир Striker Turbo 4см 10г,Компактный балансир для окуня.,520,Балансиры,,,Балансир Striker Turbo 4см 10г. Балансиры. Компактный балансир для окуня. test_min_nan test_max_nan
247,Мормышка диск 0.4г вольфрам,Плоская мормышка для безмотыльной ловли.,100,Мормышки,,,Мормышка диск 0.4г вольфрам. Мормышки. Плоская мормышка для безмотыльной ловли. test_min_nan test_max_nan
248,Плетеный шнур Shimano Kairiki 8 0.10мм 150м,Восьмижильная плетёнка с высокой абразивостойкостью.,1690,Лески и шнуры,,,Плетеный шнур Shimano Kairiki 8 0.10мм 150м. Лески и шнуры. Восьмижильная плетёнка с высокой абразивостойкостью. test_min_nan test_max_nan
249,Леска монофильная Daiwa Sensor 0.22мм 150м,Прозрачная монофильная леска с отличной прочностью.,450,Лески и шнуры,,,Леска монофильная Daiwa Sensor 0.22мм 150м. Лески и шнуры. Прозрачная монофильная леска с отличной прочностью. test_min_nan test_max_nan
250,Флюорокарбон Sunline Sniper BMS 0.26мм 50м,Мягкий и невидимый в воде флюорокарбон.,720,Лески и шнуры,,,Флюорокарбон Sunline Sniper BMS 0.26мм 50м. Лески и шнуры. Мягкий и невидимый в воде флюорокарбон. test_min_nan test_max_nan
251,Шнур плетёный Varivas High Grade PE 0.8 150м,Японская плетёнка премиум-класса с круглым сечением.,2390,Лески и шнуры,,,Шнур плетёный Varivas High Grade PE 0.8 150м. Лески и шнуры. Японская плетёнка премиум-класса с круглым сечением. test_min_nan test_max_nan
252,Леска монофильная Trabucco Strong 0.30мм 150м,Усиленная монофильная леска для карповой ловли.,520,Лески и шнуры,,,Леска монофильная Trabucco Strong 0.30мм 150м. Лески и шнуры. Усиленная монофильная леска для карповой ловли. test_min_nan test_max_nan
253,Крючки Owner 50922 №8 (15 шт),Тонкие крючки для поплавочной ловли.,350,Крючки,,,Крючки Owner 50922 №8 (15 шт). Крючки. Тонкие крючки для поплавочной ловли. test_min_nan test_max_nan
